trade_id,date,direction,signal_bar_time,signal_bar_number,entry_time,entry_bar_number,exit_time,exit_bar_number,entry_price,exit_price,stop_loss,target,exit_reason,pnl_points,pnl_amount,bars_held,lots,signal_bar_range,signal_bar_body_ratio,signal_bar_close_position
114,2023-07-07,SHORT,10:00,10,10:10,12,10:20,14,19503.75,19480.75,19525.6,19479.75,TARGET,23.0,1645.0,2,1,16.85,0.8042,0.0267
115,2023-07-11,LONG,09:40,6,09:50,8,10:50,20,19473.05,19496.05,19450.55,19497.05,TARGET,23.0,1645.0,12,1,17.5,0.7943,0.9743
116,2023-07-12,SHORT,10:15,13,10:25,15,10:30,16,19434.55,19459.15,19466.65,19408.45,FT_FAILURE,-24.6,-1925.0,1,1,27.1,1.0,0.0
117,2023-07-14,SHORT,09:20,2,09:30,4,13:10,48,19459.4,19496.4,19495.4,19425.55,STOP_LOSS,-37.0,-2855.0,44,1,34.85,0.825,0.0459
118,2023-07-17,LONG,09:45,7,09:55,9,10:15,13,19608.85,19631.85,19585.1,19632.85,TARGET,23.0,1645.0,4,1,18.75,0.9813,1.0
119,2023-07-17,SHORT,10:20,14,10:30,16,12:15,37,19606.1,19638.95,19637.95,19580.25,STOP_LOSS,-32.85,-2543.75,21,1,26.85,0.8883,0.054
120,2023-07-19,LONG,09:20,2,09:30,4,09:55,9,19811.15,19834.15,19788.05,19835.15,TARGET,23.0,1645.0,5,1,18.1,0.7928,0.8066
121,2023-07-19,SHORT,10:00,10,10:15,13,10:35,17,19814.85,19791.85,19840.55,19790.85,TARGET,23.0,1645.0,4,1,20.7,0.7343,0.1836
122,2023-07-20,LONG,09:20,2,09:35,5,09:40,6,19820.65,19780.8,19784.65,19852.75,FT_FAILURE,-39.85,-3068.75,1,1,33.1,0.5136,0.9607
123,2023-07-20,LONG,10:15,13,10:25,15,11:55,33,19819.2,19850.7,19783.2,19851.7,TARGET,31.5,2282.5,18,1,33.5,0.8731,1.0
